Bitcoin,BTC
Ethereum,ETH
Ripple,XRP
NEM,XEM
Ethereum Classic,ethClassic,ethereumclassic,ETC
Litecoin,LTC
Dash,DASH
Monero,XMR
Stratis,STRAT
Bytecoin,BCN
Stellar,Lumens,XLM
Golem,GNT
Zcash,ZEC
Waves,WAVES
Dogecoin,DOGE
Gnosis,GNO
Augur,REP
Steem,STEEM
Siacoin,SC
BitShares,BTS
MaidSafeCoin,MAID
DigiByte,DGB
GameCredits,GAME
DigixDAO,DGD
BasicAttentionToken,BAT
BitConnect,BCC
Lisk,LSK
Decred,DCR
Ardor,ARDR
Factom,FCT
SingularDTV,SNGLS
Iconomi,ICN
Byteball,GBYTE
PIVX,PIVX
Round,ROUND
Aragon,ANT
FirstBlood,1ST
Nxt,NXT
AntShares,ANS
Komodo,KMD
SysCoin,SYS
iExec,RLC,RLC
Ubiq,UBQ
Wings,WINGS
Peercoin,PPC
Lykke,LKK
ReddCoin,RDD
Emercoin,EMC
StorjcoinX,SJCX
Melon,MLN
BitcoinDark,BTCD
Omni,OMNI
Xaurum,XAUR
Counterparty,XCP
Ark,ARK
Namecoin,NMC
Nexus,NXS
Gulden,NLG
Synereo,AMP
YbCoin,YBC
WeTrust,TRST
Burst,BURST
EarthCoin,EAC
TokenCard,TKN
Matchpool,GUP
Edgeless,EDG
Blocknet,BLOCK
PotCoin,POT
E-Dinar,EDR
NAV,NAV
BitBay,BAY
BlackCoin,BLK
Nexium,NXC
Expanse,EXP
Infinitecoin,IFC
ZCoin,XZC
OBITS,OBITS
BCAP,BCAP
Unity,Ingot,UNY
Agoras,Tokens,AGRS
Verge,XVG
Swarm,City,SWT
Pepe,pepeCash,pepe cash,PEPECASH
Humaniq,HMQ
LBRY,Credits
MonaCoin,MONA
GridCoin,GRC
Radium,RADS
Bankcoin,B@
TaaS,TAAS
I/O,IOC
Chronobank
XtraBYtes,XBY
Waves,Communication,WCT
Bitland,CADASTRAL
Shift,SHIFT
E-coin,ECN
Vertcoin,VTC
Etheroll,DICE
Clams,CLAMS
VeriCoin,VRC
FoldingCoin,FLDC
Viacoin,VIA
Skycoin,SKY
Einsteinium,EMC2
Neoscoin,NEOS
Riecoin,RIC
Belacoin,BELA
Trumpcoin,TRUMP
Huntercoin,HUC
PoSW,POSW
Golos,GOLOS
MUSE,MUSE
BitBean,BITB
Rise,RISE
